expediente,campo,tipo,ref,nuestro,fila_ref,filas_ntro,observaciones
SD2022-0001545,Apelacion,distinto,NO,SI,"[5, 6]",[5],La resolución dice expresamente que NO está comprendido en 136b: no se cuenta como motivo.
SD2022-0032729,Apelacion,distinto,NO,SI,[143],[135],no se descargó ninguna resolución (TM9 / TM128)
SD2022-0040180,Apelacion,distinto,NO,SI,[185],[182],
SD2022-0049886,Apelacion,distinto,NO,SI,[243],[240],no se descargó ninguna resolución (TM9 / TM128)
SD2022-0057397,Apelacion,distinto,NO,SI,[291],[284],no se descargó ninguna resolución (TM9 / TM128)
SD2022-0063880,Apelacion,distinto,NO,SI,"[335, 336]",[329],no se descargó ninguna resolución (TM9 / TM128)
SD2022-0070089,Apelacion,distinto,NO,SI,[350],[344],La resolución dice expresamente que NO está comprendido en 135i: no se cuenta como motivo.; La resolución dice expresamente que NO está comprendido en 135j: no se cuenta como motivo.
SD2022-0083063,Apelacion,distinto,NO,SI,[409],[406],
SD2022-0117395,Apelacion,distinto,SI,NO,[573],[612],La resolución niega el registro pero no se pudo determinar la causal. Revisar a mano.
SD2023-0007288,Apelacion,distinto,NO,SI,[687],[857],no se descargó ninguna resolución (TM9 / TM128)
SD2022-0005052,Art OP 1,vacio_ref,[],"['135B', '136A']",[13],[12],El nombre del opositor no se pudo leer junto a «presentó oposición»; se tomó de la parte resolutiva.
SD2022-0009197,Art OP 1,vacio_out,"['135B', '136A']",[],"[28, 29]",[28],No se pudo determinar en qué artículos fundó su oposición «INSTITUTO FARMACOLOGICO BOTANICO S.A.S».
SD2022-0011050,Art OP 1,vacio_ref,[],['136A'],[43],[42],
SD2022-0013952,Art OP 1,vacio_out,"['135B', '136A']",[],"[49, 50]",[48],No se pudo determinar en qué artículos fundó su oposición «JUAN SEBASTIAN LIZCANO ROJAS».; No se pudo determinar en qué artículos fundó su oposición «AUTECO MOBILITY S.A.S.».
SD2022-0016477,Art OP 1,vacio_ref,[],['136A'],[76],[72],
SD2022-0021577,Art OP 1,vacio_out,"['135B', '136A', '136B']",[],"[94, 95, 96]",[90],No se pudo determinar en qué artículos fundó su oposición «APOTHEKANNA S.A.S.».; La resolución dice expresamente que NO está comprendido en 136b: no se cuenta como motivo.
SD2022-0028314,Art OP 1,vacio_ref,[],['136A'],[120],[111],
SD2022-0030179,Art OP 1,vacio_out,['136A'],[],[134],[125],No se pudo determinar en qué artículos fundó su oposición «scoiedad Ipsen Consumer HealthCare».
SD2022-0032729,Art OP 1,vacio_out,['136A'],[],[143],[135],no se descargó ninguna resolución (TM9 / TM128)
SD2022-0035349,Art OP 1,disjunto,['7CONVENCIONINTERAMERICANAWASHINGTON'],['7'],[168],[164],
SD2022-0037737,Art OP 1,vacio_ref,[],['136A'],[152],[147],
SD2022-0038666,Art OP 1,vacio_ref,[],['136A'],[182],[178],
SD2022-0040933,Art OP 1,vacio_out,['136A'],[],[198],[195],No se pudo determinar en qué artículos fundó su oposición «SIEGFRIED RHEIN S.A. DE C.V.».
SD2022-0045634,Art OP 1,vacio_out,['136A'],[],[216],[213],No se pudo determinar en qué artículos fundó su oposición «BIOCHEM FARMACEUTICA DE COLOMBIA S.A».
SD2022-0049055,Art OP 1,subconjunto,"['135B', '136A']",['135B'],"[237, 238]",[235],
SD2022-0049886,Art OP 1,vacio_out,['136A'],[],[243],[240],no se descargó ninguna resolución (TM9 / TM128)
SD2022-0051411,Art OP 1,vacio_out,"['135B', '136A']",[],"[253, 254]",[250],No se pudo determinar en qué artículos fundó su oposición «LOVIENT CONSULTADORIA E SERVICOS LDA.».
SD2022-0051416,Art OP 1,vacio_out,"['135B', '136A']",[],"[255, 256]",[251],No se pudo determinar en qué artículos fundó su oposición «LOVIENT CONSULTADORIA E SERVICOS LDA.».
SD2022-0054153,Art OP 1,vacio_out,"['135B', '136A']",[],"[273, 274]",[267],No se pudo determinar en qué artículos fundó su oposición «LABORATORIOS INCOBRA S.A.».
SD2022-0054710,Art OP 1,vacio_out,"['135B', '136A']",[],"[271, 272]",[266],No se pudo determinar en qué artículos fundó su oposición «Catalunya Trust».
SD2022-0056071,Art OP 1,vacio_out,['135B'],[],[285],"[278, 279]",el reporte dice «Bajo Oposición = Sí» y la resolución dice lo contrario; se usa la resolución
SD2022-0056830,Art OP 1,vacio_ref,[],['136A'],[288],[282],
SD2022-0057397,Art OP 1,vacio_out,['136A'],[],[291],[284],no se descargó ninguna resolución (TM9 / TM128)
SD2022-0060997,Art OP 1,vacio_out,['136A'],[],[305],[299],el reporte dice «Bajo Oposición = Sí» y la resolución dice lo contrario; se usa la resolución
SD2022-0063014,Art OP 1,vacio_out,"['135B', '136A']",[],"[321, 322]",[315],No se pudo determinar en qué artículos fundó su oposición «opositora COLINAGRO S.A.».
SD2022-0063180,Art OP 1,subconjunto,"['135B', '136A']",['135B'],"[323, 324]",[316],
SD2022-0063184,Art OP 1,subconjunto,"['135B', '136A']",['135B'],"[325, 326]",[317],
SD2022-0063880,Art OP 1,vacio_out,['136A'],[],"[335, 336]",[329],no se descargó ninguna resolución (TM9 / TM128)
SD2022-0070089,Art OP 1,vacio_ref,[],"['135I', '135J']",[350],[344],La resolución dice expresamente que NO está comprendido en 135i: no se cuenta como motivo.; La resolución dice expresamente que NO está comprendido en 135j: no se cuenta como motivo.
SD2022-0071491,Art OP 1,vacio_out,['136A'],[],[364],[360],el reporte dice «Bajo Oposición = Sí» y la resolución dice lo contrario; se usa la resolución
SD2022-0071599,Art OP 1,vacio_out,['136A'],[],[367],[363],el reporte dice «Bajo Oposición = Sí» y la resolución dice lo contrario; se usa la resolución
SD2022-0072019,Art OP 1,vacio_out,['136A'],[],[370],[366],No se pudo determinar en qué artículos fundó su oposición «MANUELA GOMEZ OSPINA».
SD2022-0073928,Art OP 1,vacio_out,['136A'],[],[387],[381],no se descargó ninguna resolución (TM9 / TM128)
